Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-oh6h,Randomise questionnaire elements?,Question Key,Response
1,1.60328E+12,21/10/2020 12:05,1.60328E+12,1,21/10/2020 13:05,12022,38,questionnaire-betd,,7356138,BLIND,2146870,,live,,,computer,Desktop or Laptop,Windows 8.1,Chrome 86.0.4240.75,1920x1080,1920x937,,BCIS,5,Menta-first,No,BEGIN QUESTIONNAIRE,
2,1.60328E+12,21/10/2020 12:06,1.60328E+12,1,21/10/2020 13:06,12022,38,questionnaire-betd,,7356138,BLIND,2146870,,live,,,computer,Desktop or Laptop,Windows 8.1,Chrome 86.0.4240.75,1920x1080,1903x937,,BCIS,5,Menta-first,No,BCIS-1,agree completely
3,1.60328E+12,21/10/2020 12:06,1.60328E+12,1,21/10/2020 13:06,12022,38,questionnaire-betd,,7356138,BLIND,2146870,,live,,,computer,Desktop or Laptop,Windows 8.1,Chrome 86.0.4240.75,1920x1080,1903x937,,BCIS,5,Menta-first,No,BCIS-1-quantised,4
4,1.60328E+12,21/10/2020 12:06,1.60328E+12,1,21/10/2020 13:06,12022,38,questionnaire-betd,,7356138,BLIND,2146870,,live,,,computer,Desktop or Laptop,Windows 8.1,Chrome 86.0.4240.75,1920x1080,1903x937,,BCIS,5,Menta-first,No,BCIS-2,agree slightly
5,1.60328E+12,21/10/2020 12:06,1.60328E+12,1,21/10/2020 13:06,12022,38,questionnaire-betd,,7356138,BLIND,2146870,,live,,,computer,Desktop or Laptop,Windows 8.1,Chrome 86.0.4240.75,1920x1080,1903x937,,BCIS,5,Menta-first,No,BCIS-2-quantised,2
6,1.60328E+12,21/10/2020 12:06,1.60328E+12,1,21/10/2020 13:06,12022,38,questionnaire-betd,,7356138,BLIND,2146870,,live,,,computer,Desktop or Laptop,Windows 8.1,Chrome 86.0.4240.75,1920x1080,1903x937,,BCIS,5,Menta-first,No,BCIS-3,do not agree at all
7,1.60328E+12,21/10/2020 12:06,1.60328E+12,1,21/10/2020 13:06,12022,38,questionnaire-betd,,7356138,BLIND,2146870,,live,,,computer,Desktop or Laptop,Windows 8.1,Chrome 86.0.4240.75,1920x1080,1903x937,,BCIS,5,Menta-first,No,BCIS-3-quantised,1
8,1.60328E+12,21/10/2020 12:06,1.60328E+12,1,21/10/2020 13:06,12022,38,questionnaire-betd,,7356138,BLIND,2146870,,live,,,computer,Desktop or Laptop,Windows 8.1,Chrome 86.0.4240.75,1920x1080,1903x937,,BCIS,5,Menta-first,No,BCIS-4,agree slightly
9,1.60328E+12,21/10/2020 12:06,1.60328E+12,1,21/10/2020 13:06,12022,38,questionnaire-betd,,7356138,BLIND,2146870,,live,,,computer,Desktop or Laptop,Windows 8.1,Chrome 86.0.4240.75,1920x1080,1903x937,,BCIS,5,Menta-first,No,BCIS-4-quantised,2
10,1.60328E+12,21/10/2020 12:06,1.60328E+12,1,21/10/2020 13:06,12022,38,questionnaire-betd,,7356138,BLIND,2146870,,live,,,computer,Desktop or Laptop,Windows 8.1,Chrome 86.0.4240.75,1920x1080,1903x937,,BCIS,5,Menta-first,No,BCIS-5,do not agree at all
11,1.60328E+12,21/10/2020 12:06,1.60328E+12,1,21/10/2020 13:06,12022,38,questionnaire-betd,,7356138,BLIND,2146870,,live,,,computer,Desktop or Laptop,Windows 8.1,Chrome 86.0.4240.75,1920x1080,1903x937,,BCIS,5,Menta-first,No,BCIS-5-quantised,1
12,1.60328E+12,21/10/2020 12:06,1.60328E+12,1,21/10/2020 13:06,12022,38,questionnaire-betd,,7356138,BLIND,2146870,,live,,,computer,Desktop or Laptop,Windows 8.1,Chrome 86.0.4240.75,1920x1080,1903x937,,BCIS,5,Menta-first,No,BCIS-6,agree completely
13,1.60328E+12,21/10/2020 12:06,1.60328E+12,1,21/10/2020 13:06,12022,38,questionnaire-betd,,7356138,BLIND,2146870,,live,,,computer,Desktop or Laptop,Windows 8.1,Chrome 86.0.4240.75,1920x1080,1903x937,,BCIS,5,Menta-first,No,BCIS-6-quantised,4
14,1.60328E+12,21/10/2020 12:06,1.60328E+12,1,21/10/2020 13:06,12022,38,questionnaire-betd,,7356138,BLIND,2146870,,live,,,computer,Desktop or Laptop,Windows 8.1,Chrome 86.0.4240.75,1920x1080,1903x937,,BCIS,5,Menta-first,No,BCIS-7,do not agree at all
15,1.60328E+12,21/10/2020 12:06,1.60328E+12,1,21/10/2020 13:06,12022,38,questionnaire-betd,,7356138,BLIND,2146870,,live,,,computer,Desktop or Laptop,Windows 8.1,Chrome 86.0.4240.75,1920x1080,1903x937,,BCIS,5,Menta-first,No,BCIS-7-quantised,1
