Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-oh6h,Randomise questionnaire elements?,Question Key,Response
1,1.60484E+12,08/11/2020 13:45,1.60484E+12,0,08/11/2020 13:45,12022,43,questionnaire-ch2f,,7649084,BLIND,2267229,,live,,,computer,Desktop or Laptop,Mac OS 10.12.6,Chrome 86.0.4240.111,1440x900,1440x789,,AQ-10,8,Menta-first,No,BEGIN QUESTIONNAIRE,
2,1.60484E+12,08/11/2020 13:46,1.60484E+12,0,08/11/2020 13:46,12022,43,questionnaire-ch2f,,7649084,BLIND,2267229,,live,,,computer,Desktop or Laptop,Mac OS 10.12.6,Chrome 86.0.4240.111,1440x900,1440x789,,AQ-10,8,Menta-first,No,AQ-1,slightly agree
3,1.60484E+12,08/11/2020 13:46,1.60484E+12,0,08/11/2020 13:46,12022,43,questionnaire-ch2f,,7649084,BLIND,2267229,,live,,,computer,Desktop or Laptop,Mac OS 10.12.6,Chrome 86.0.4240.111,1440x900,1440x789,,AQ-10,8,Menta-first,No,AQ-1-quantised,2
4,1.60484E+12,08/11/2020 13:46,1.60484E+12,0,08/11/2020 13:46,12022,43,questionnaire-ch2f,,7649084,BLIND,2267229,,live,,,computer,Desktop or Laptop,Mac OS 10.12.6,Chrome 86.0.4240.111,1440x900,1440x789,,AQ-10,8,Menta-first,No,AQ-7,definitely disagree
5,1.60484E+12,08/11/2020 13:46,1.60484E+12,0,08/11/2020 13:46,12022,43,questionnaire-ch2f,,7649084,BLIND,2267229,,live,,,computer,Desktop or Laptop,Mac OS 10.12.6,Chrome 86.0.4240.111,1440x900,1440x789,,AQ-10,8,Menta-first,No,AQ-7-quantised,4
6,1.60484E+12,08/11/2020 13:46,1.60484E+12,0,08/11/2020 13:46,12022,43,questionnaire-ch2f,,7649084,BLIND,2267229,,live,,,computer,Desktop or Laptop,Mac OS 10.12.6,Chrome 86.0.4240.111,1440x900,1440x789,,AQ-10,8,Menta-first,No,AQ-5,definitely agree
7,1.60484E+12,08/11/2020 13:46,1.60484E+12,0,08/11/2020 13:46,12022,43,questionnaire-ch2f,,7649084,BLIND,2267229,,live,,,computer,Desktop or Laptop,Mac OS 10.12.6,Chrome 86.0.4240.111,1440x900,1440x789,,AQ-10,8,Menta-first,No,AQ-5-quantised,1
8,1.60484E+12,08/11/2020 13:46,1.60484E+12,0,08/11/2020 13:46,12022,43,questionnaire-ch2f,,7649084,BLIND,2267229,,live,,,computer,Desktop or Laptop,Mac OS 10.12.6,Chrome 86.0.4240.111,1440x900,1440x789,,AQ-10,8,Menta-first,No,AQ-2,slightly agree
9,1.60484E+12,08/11/2020 13:46,1.60484E+12,0,08/11/2020 13:46,12022,43,questionnaire-ch2f,,7649084,BLIND,2267229,,live,,,computer,Desktop or Laptop,Mac OS 10.12.6,Chrome 86.0.4240.111,1440x900,1440x789,,AQ-10,8,Menta-first,No,AQ-2-quantised,2
10,1.60484E+12,08/11/2020 13:46,1.60484E+12,0,08/11/2020 13:46,12022,43,questionnaire-ch2f,,7649084,BLIND,2267229,,live,,,computer,Desktop or Laptop,Mac OS 10.12.6,Chrome 86.0.4240.111,1440x900,1440x789,,AQ-10,8,Menta-first,No,AQ-6,definitely agree
11,1.60484E+12,08/11/2020 13:46,1.60484E+12,0,08/11/2020 13:46,12022,43,questionnaire-ch2f,,7649084,BLIND,2267229,,live,,,computer,Desktop or Laptop,Mac OS 10.12.6,Chrome 86.0.4240.111,1440x900,1440x789,,AQ-10,8,Menta-first,No,AQ-6-quantised,1
12,1.60484E+12,08/11/2020 13:46,1.60484E+12,0,08/11/2020 13:46,12022,43,questionnaire-ch2f,,7649084,BLIND,2267229,,live,,,computer,Desktop or Laptop,Mac OS 10.12.6,Chrome 86.0.4240.111,1440x900,1440x789,,AQ-10,8,Menta-first,No,AQ-9,slightly agree
13,1.60484E+12,08/11/2020 13:46,1.60484E+12,0,08/11/2020 13:46,12022,43,questionnaire-ch2f,,7649084,BLIND,2267229,,live,,,computer,Desktop or Laptop,Mac OS 10.12.6,Chrome 86.0.4240.111,1440x900,1440x789,,AQ-10,8,Menta-first,No,AQ-9-quantised,2
14,1.60484E+12,08/11/2020 13:46,1.60484E+12,0,08/11/2020 13:46,12022,43,questionnaire-ch2f,,7649084,BLIND,2267229,,live,,,computer,Desktop or Laptop,Mac OS 10.12.6,Chrome 86.0.4240.111,1440x900,1440x789,,AQ-10,8,Menta-first,No,AQ-4,definitely agree
15,1.60484E+12,08/11/2020 13:46,1.60484E+12,0,08/11/2020 13:46,12022,43,questionnaire-ch2f,,7649084,BLIND,2267229,,live,,,computer,Desktop or Laptop,Mac OS 10.12.6,Chrome 86.0.4240.111,1440x900,1440x789,,AQ-10,8,Menta-first,No,AQ-4-quantised,1
16,1.60484E+12,08/11/2020 13:46,1.60484E+12,0,08/11/2020 13:46,12022,43,questionnaire-ch2f,,7649084,BLIND,2267229,,live,,,computer,Desktop or Laptop,Mac OS 10.12.6,Chrome 86.0.4240.111,1440x900,1440x789,,AQ-10,8,Menta-first,No,catch_3,yes
17,1.60484E+12,08/11/2020 13:46,1.60484E+12,0,08/11/2020 13:46,12022,43,questionnaire-ch2f,,7649084,BLIND,2267229,,live,,,computer,Desktop or Laptop,Mac OS 10.12.6,Chrome 86.0.4240.111,1440x900,1440x789,,AQ-10,8,Menta-first,No,catch_3-quantised,1
18,1.60484E+12,08/11/2020 13:46,1.60484E+12,0,08/11/2020 13:46,12022,43,questionnaire-ch2f,,7649084,BLIND,2267229,,live,,,computer,Desktop or Laptop,Mac OS 10.12.6,Chrome 86.0.4240.111,1440x900,1440x789,,AQ-10,8,Menta-first,No,AQ-8,slightly disagree
19,1.60484E+12,08/11/2020 13:46,1.60484E+12,0,08/11/2020 13:46,12022,43,questionnaire-ch2f,,7649084,BLIND,2267229,,live,,,computer,Desktop or Laptop,Mac OS 10.12.6,Chrome 86.0.4240.111,1440x900,1440x789,,AQ-10,8,Menta-first,No,AQ-8-quantised,3
20,1.60484E+12,08/11/2020 13:46,1.60484E+12,0,08/11/2020 13:46,12022,43,questionnaire-ch2f,,7649084,BLIND,2267229,,live,,,computer,Desktop or Laptop,Mac OS 10.12.6,Chrome 86.0.4240.111,1440x900,1440x789,,AQ-10,8,Menta-first,No,AQ-10,slightly disagree
21,1.60484E+12,08/11/2020 13:46,1.60484E+12,0,08/11/2020 13:46,12022,43,questionnaire-ch2f,,7649084,BLIND,2267229,,live,,,computer,Desktop or Laptop,Mac OS 10.12.6,Chrome 86.0.4240.111,1440x900,1440x789,,AQ-10,8,Menta-first,No,AQ-10-quantised,3
