Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-oh6h,Randomise questionnaire elements?,Question Key,Response
1,1604842274816,08/11/2020 13:31:14,1604842275472,1,08/11/2020 14:31:15,12022,43,questionnaire-csyn,,7648939,BLIND,2267210,,complete,bfmpkm,,computer,Desktop or Laptop,Windows 7,Chrome 85.0.4183.121,1366x768,1303x697,,welcome 2nd task,3,Meta-first,No,BEGIN QUESTIONNAIRE,
2,1604842279430,08/11/2020 13:31:19,1604842280160,1,08/11/2020 14:31:20,12022,43,questionnaire-csyn,,7648939,BLIND,2267210,,complete,bfmpkm,,computer,Desktop or Laptop,Windows 7,Chrome 85.0.4183.121,1366x768,1303x697,,welcome 2nd task,3,Meta-first,No,END QUESTIONNAIRE,4688
1,1604842288661,08/11/2020 13:31:28,1604842288390,2,08/11/2020 15:31:28,12022,43,questionnaire-csyn,,7648941,BLIND,2267205,,complete,rsebdo,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.183,1536x864,1536x792,,welcome 2nd task,3,Meta-first,No,BEGIN QUESTIONNAIRE,
2,1604842293648,08/11/2020 13:31:33,1604842293457,2,08/11/2020 15:31:33,12022,43,questionnaire-csyn,,7648941,BLIND,2267205,,complete,rsebdo,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.183,1536x864,1536x792,,welcome 2nd task,3,Meta-first,No,END QUESTIONNAIRE,5067
1,1604842980469,08/11/2020 13:43:00,1604842980371,0,08/11/2020 13:43:00,12022,43,questionnaire-csyn,,7649045,BLIND,2267235,,complete,xkvtxx,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.75,1366x768,1366x657,,welcome 2nd task,3,Meta-first,No,BEGIN QUESTIONNAIRE,
2,1604842984007,08/11/2020 13:43:04,1604842983970,0,08/11/2020 13:43:03,12022,43,questionnaire-csyn,,7649045,BLIND,2267235,,complete,xkvtxx,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.75,1366x768,1366x657,,welcome 2nd task,3,Meta-first,No,END QUESTIONNAIRE,3600
1,1604844141672,08/11/2020 14:02:21,1604844131993,-5,08/11/2020 09:02:11,12022,43,questionnaire-csyn,,7649282,BLIND,2267285,,complete,uwilrc,,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.135,1366x768,1242x603,,welcome 2nd task,3,Meta-first,No,BEGIN QUESTIONNAIRE,
2,1604844144458,08/11/2020 14:02:24,1604844134950,-5,08/11/2020 09:02:14,12022,43,questionnaire-csyn,,7649282,BLIND,2267285,,complete,uwilrc,,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.135,1366x768,1242x603,,welcome 2nd task,3,Meta-first,No,END QUESTIONNAIRE,2958
1,1604915103089,09/11/2020 09:45:03,1604915104697,1,09/11/2020 10:45:04,12022,43,questionnaire-csyn,,7664047,BLIND,2270544,,live,,,computer,Desktop or Laptop,Windows 10,Edge 86.0.622.63,1280x720,1280x610,,welcome 2nd task,3,Meta-first,No,BEGIN QUESTIONNAIRE,
2,1604915105917,09/11/2020 09:45:05,1604915107588,1,09/11/2020 10:45:07,12022,43,questionnaire-csyn,,7664047,BLIND,2270544,,live,,,computer,Desktop or Laptop,Windows 10,Edge 86.0.622.63,1280x720,1280x610,,welcome 2nd task,3,Meta-first,No,END QUESTIONNAIRE,2890
1,1604915979059,09/11/2020 09:59:39,1604915977730,1,09/11/2020 10:59:37,12022,43,questionnaire-csyn,,7664478,BLIND,2270551,,complete,gzmmdw,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.183,1920x1080,1920x937,,welcome 2nd task,3,Meta-first,No,BEGIN QUESTIONNAIRE,
2,1604915986055,09/11/2020 09:59:46,1604915981175,1,09/11/2020 10:59:41,12022,43,questionnaire-csyn,,7664478,BLIND,2270551,,complete,gzmmdw,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.183,1920x1080,1920x937,,welcome 2nd task,3,Meta-first,No,END QUESTIONNAIRE,3445
1,1604925809982,09/11/2020 12:43:29,1604925810184,0,09/11/2020 12:43:30,12022,43,questionnaire-csyn,,7667785,BLIND,2271944,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.111,1366x768,1366x768,,welcome 2nd task,3,Meta-first,No,BEGIN QUESTIONNAIRE,
2,1604925812140,09/11/2020 12:43:32,1604925812364,0,09/11/2020 12:43:32,12022,43,questionnaire-csyn,,7667785,BLIND,2271944,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.111,1366x768,1366x768,,welcome 2nd task,3,Meta-first,No,END QUESTIONNAIRE,2180
1,1604917387430,09/11/2020 10:23:07,1604917387252,0,09/11/2020 10:23:07,12022,43,questionnaire-csyn,,7665006,BLIND,2270543,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.183,1920x1080,1920x912,,welcome 2nd task,3,Meta-first,No,BEGIN QUESTIONNAIRE,
2,1604917388996,09/11/2020 10:23:08,1604917388827,0,09/11/2020 10:23:08,12022,43,questionnaire-csyn,,7665006,BLIND,2270543,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.183,1920x1080,1920x912,,welcome 2nd task,3,Meta-first,No,END QUESTIONNAIRE,1575
1,1604916280729,09/11/2020 10:04:40,1604916280636,0,09/11/2020 10:04:40,12022,43,questionnaire-csyn,,7664589,BLIND,2270553,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 86.0.4240.183,1440x900,1440x724,,welcome 2nd task,3,Meta-first,No,BEGIN QUESTIONNAIRE,
2,1604916285185,09/11/2020 10:04:45,1604916285138,0,09/11/2020 10:04:45,12022,43,questionnaire-csyn,,7664589,BLIND,2270553,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 86.0.4240.183,1440x900,1440x724,,welcome 2nd task,3,Meta-first,No,END QUESTIONNAIRE,4502
1,1604915537202,09/11/2020 09:52:17,1604915537520,1,09/11/2020 10:52:17,12022,43,questionnaire-csyn,,7664271,BLIND,2270640,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.183,1536x864,1536x864,,welcome 2nd task,3,Meta-first,No,BEGIN QUESTIONNAIRE,
2,1604915538749,09/11/2020 09:52:18,1604915539088,1,09/11/2020 10:52:19,12022,43,questionnaire-csyn,,7664271,BLIND,2270640,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.183,1536x864,1536x864,,welcome 2nd task,3,Meta-first,No,END QUESTIONNAIRE,1568
1,1604915170346,09/11/2020 09:46:10,1604915170199,0,09/11/2020 09:46:10,12022,43,questionnaire-csyn,,7664088,BLIND,2270548,,complete,lalsbd,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.183,1920x1080,1920x937,,welcome 2nd task,3,Meta-first,No,BEGIN QUESTIONNAIRE,
2,1604915172412,09/11/2020 09:46:12,1604915172303,0,09/11/2020 09:46:12,12022,43,questionnaire-csyn,,7664088,BLIND,2270548,,complete,lalsbd,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.183,1920x1080,1920x937,,welcome 2nd task,3,Meta-first,No,END QUESTIONNAIRE,2104
1,1604915029113,09/11/2020 09:43:49,1604915029314,1,09/11/2020 10:43:49,12022,43,questionnaire-csyn,,7664019,BLIND,2270540,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.183,1536x864,1229x578,,welcome 2nd task,3,Meta-first,No,BEGIN QUESTIONNAIRE,
