Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-oh6h,Randomise questionnaire elements?,Question Key,Response
1,1.60717E+12,05/12/2020 12:23,1.60717E+12,0,05/12/2020 12:24,27169,8,questionnaire-mi1h,,8351339,BLIND,2545996,,complete,diptaw,,computer,Desktop or Laptop,Windows 10,Chrome 87.0.4280.88,1920x1080,1920x1080,,BCIS,1,Meta-first,No,BEGIN QUESTIONNAIRE,
2,1.60717E+12,05/12/2020 12:25,1.60717E+12,0,05/12/2020 12:26,27169,8,questionnaire-mi1h,,8351339,BLIND,2545996,,complete,diptaw,,computer,Desktop or Laptop,Windows 10,Chrome 87.0.4280.88,1920x1080,1920x1080,,BCIS,1,Meta-first,No,BCIS-1,agree completely
3,1.60717E+12,05/12/2020 12:25,1.60717E+12,0,05/12/2020 12:26,27169,8,questionnaire-mi1h,,8351339,BLIND,2545996,,complete,diptaw,,computer,Desktop or Laptop,Windows 10,Chrome 87.0.4280.88,1920x1080,1920x1080,,BCIS,1,Meta-first,No,BCIS-1-quantised,4
4,1.60717E+12,05/12/2020 12:25,1.60717E+12,0,05/12/2020 12:26,27169,8,questionnaire-mi1h,,8351339,BLIND,2545996,,complete,diptaw,,computer,Desktop or Laptop,Windows 10,Chrome 87.0.4280.88,1920x1080,1920x1080,,BCIS,1,Meta-first,No,BCIS-2,agree slightly
5,1.60717E+12,05/12/2020 12:25,1.60717E+12,0,05/12/2020 12:26,27169,8,questionnaire-mi1h,,8351339,BLIND,2545996,,complete,diptaw,,computer,Desktop or Laptop,Windows 10,Chrome 87.0.4280.88,1920x1080,1920x1080,,BCIS,1,Meta-first,No,BCIS-2-quantised,2
6,1.60717E+12,05/12/2020 12:25,1.60717E+12,0,05/12/2020 12:26,27169,8,questionnaire-mi1h,,8351339,BLIND,2545996,,complete,diptaw,,computer,Desktop or Laptop,Windows 10,Chrome 87.0.4280.88,1920x1080,1920x1080,,BCIS,1,Meta-first,No,BCIS-3,agree slightly
7,1.60717E+12,05/12/2020 12:25,1.60717E+12,0,05/12/2020 12:26,27169,8,questionnaire-mi1h,,8351339,BLIND,2545996,,complete,diptaw,,computer,Desktop or Laptop,Windows 10,Chrome 87.0.4280.88,1920x1080,1920x1080,,BCIS,1,Meta-first,No,BCIS-3-quantised,2
8,1.60717E+12,05/12/2020 12:25,1.60717E+12,0,05/12/2020 12:26,27169,8,questionnaire-mi1h,,8351339,BLIND,2545996,,complete,diptaw,,computer,Desktop or Laptop,Windows 10,Chrome 87.0.4280.88,1920x1080,1920x1080,,BCIS,1,Meta-first,No,BCIS-4,agree slightly
9,1.60717E+12,05/12/2020 12:25,1.60717E+12,0,05/12/2020 12:26,27169,8,questionnaire-mi1h,,8351339,BLIND,2545996,,complete,diptaw,,computer,Desktop or Laptop,Windows 10,Chrome 87.0.4280.88,1920x1080,1920x1080,,BCIS,1,Meta-first,No,BCIS-4-quantised,2
10,1.60717E+12,05/12/2020 12:25,1.60717E+12,0,05/12/2020 12:26,27169,8,questionnaire-mi1h,,8351339,BLIND,2545996,,complete,diptaw,,computer,Desktop or Laptop,Windows 10,Chrome 87.0.4280.88,1920x1080,1920x1080,,BCIS,1,Meta-first,No,BCIS-5,agree slightly
