Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-oh6h,Randomise questionnaire elements?,Question Key,Response
1,1.61E+12,05/12/2020 15:21,1.61E+12,0,05/12/2020 15:21,27169,8,questionnaire-o9hh,,8353347,BLIND,2546398,,complete,vwrgmb,,computer,Desktop or Laptop,Windows 10,Firefox 83.0,1920x1080,1920x966,,AQ-10,1,Meta-first,No,BEGIN QUESTIONNAIRE,
2,1.61E+12,05/12/2020 15:33,1.61E+12,0,05/12/2020 15:33,27169,8,questionnaire-o9hh,,8353347,BLIND,2546398,,complete,vwrgmb,,computer,Desktop or Laptop,Windows 10,Firefox 83.0,1920x1080,1920x966,,AQ-10,1,Meta-first,No,AQ-1,definitely agree
3,1.61E+12,05/12/2020 15:33,1.61E+12,0,05/12/2020 15:33,27169,8,questionnaire-o9hh,,8353347,BLIND,2546398,,complete,vwrgmb,,computer,Desktop or Laptop,Windows 10,Firefox 83.0,1920x1080,1920x966,,AQ-10,1,Meta-first,No,AQ-1-quantised,1
4,1.61E+12,05/12/2020 15:33,1.61E+12,0,05/12/2020 15:33,27169,8,questionnaire-o9hh,,8353347,BLIND,2546398,,complete,vwrgmb,,computer,Desktop or Laptop,Windows 10,Firefox 83.0,1920x1080,1920x966,,AQ-10,1,Meta-first,No,AQ-7,slightly disagree
5,1.61E+12,05/12/2020 15:33,1.61E+12,0,05/12/2020 15:33,27169,8,questionnaire-o9hh,,8353347,BLIND,2546398,,complete,vwrgmb,,computer,Desktop or Laptop,Windows 10,Firefox 83.0,1920x1080,1920x966,,AQ-10,1,Meta-first,No,AQ-7-quantised,3
6,1.61E+12,05/12/2020 15:33,1.61E+12,0,05/12/2020 15:33,27169,8,questionnaire-o9hh,,8353347,BLIND,2546398,,complete,vwrgmb,,computer,Desktop or Laptop,Windows 10,Firefox 83.0,1920x1080,1920x966,,AQ-10,1,Meta-first,No,AQ-5,slightly disagree
7,1.61E+12,05/12/2020 15:33,1.61E+12,0,05/12/2020 15:33,27169,8,questionnaire-o9hh,,8353347,BLIND,2546398,,complete,vwrgmb,,computer,Desktop or Laptop,Windows 10,Firefox 83.0,1920x1080,1920x966,,AQ-10,1,Meta-first,No,AQ-5-quantised,3
8,1.61E+12,05/12/2020 15:33,1.61E+12,0,05/12/2020 15:33,27169,8,questionnaire-o9hh,,8353347,BLIND,2546398,,complete,vwrgmb,,computer,Desktop or Laptop,Windows 10,Firefox 83.0,1920x1080,1920x966,,AQ-10,1,Meta-first,No,AQ-2,definitely disagree
9,1.61E+12,05/12/2020 15:33,1.61E+12,0,05/12/2020 15:33,27169,8,questionnaire-o9hh,,8353347,BLIND,2546398,,complete,vwrgmb,,computer,Desktop or Laptop,Windows 10,Firefox 83.0,1920x1080,1920x966,,AQ-10,1,Meta-first,No,AQ-2-quantised,4
10,1.61E+12,05/12/2020 15:33,1.61E+12,0,05/12/2020 15:33,27169,8,questionnaire-o9hh,,8353347,BLIND,2546398,,complete,vwrgmb,,computer,Desktop or Laptop,Windows 10,Firefox 83.0,1920x1080,1920x966,,AQ-10,1,Meta-first,No,AQ-6,slightly disagree
11,1.61E+12,05/12/2020 15:33,1.61E+12,0,05/12/2020 15:33,27169,8,questionnaire-o9hh,,8353347,BLIND,2546398,,complete,vwrgmb,,computer,Desktop or Laptop,Windows 10,Firefox 83.0,1920x1080,1920x966,,AQ-10,1,Meta-first,No,AQ-6-quantised,3
12,1.61E+12,05/12/2020 15:33,1.61E+12,0,05/12/2020 15:33,27169,8,questionnaire-o9hh,,8353347,BLIND,2546398,,complete,vwrgmb,,computer,Desktop or Laptop,Windows 10,Firefox 83.0,1920x1080,1920x966,,AQ-10,1,Meta-first,No,AQ-9,slightly disagree
13,1.61E+12,05/12/2020 15:33,1.61E+12,0,05/12/2020 15:33,27169,8,questionnaire-o9hh,,8353347,BLIND,2546398,,complete,vwrgmb,,computer,Desktop or Laptop,Windows 10,Firefox 83.0,1920x1080,1920x966,,AQ-10,1,Meta-first,No,AQ-9-quantised,3
14,1.61E+12,05/12/2020 15:33,1.61E+12,0,05/12/2020 15:33,27169,8,questionnaire-o9hh,,8353347,BLIND,2546398,,complete,vwrgmb,,computer,Desktop or Laptop,Windows 10,Firefox 83.0,1920x1080,1920x966,,AQ-10,1,Meta-first,No,AQ-4,definitely disagree
15,1.61E+12,05/12/2020 15:33,1.61E+12,0,05/12/2020 15:33,27169,8,questionnaire-o9hh,,8353347,BLIND,2546398,,complete,vwrgmb,,computer,Desktop or Laptop,Windows 10,Firefox 83.0,1920x1080,1920x966,,AQ-10,1,Meta-first,No,AQ-4-quantised,4
16,1.61E+12,05/12/2020 15:33,1.61E+12,0,05/12/2020 15:33,27169,8,questionnaire-o9hh,,8353347,BLIND,2546398,,complete,vwrgmb,,computer,Desktop or Laptop,Windows 10,Firefox 83.0,1920x1080,1920x966,,AQ-10,1,Meta-first,No,catch_3,yes
17,1.61E+12,05/12/2020 15:33,1.61E+12,0,05/12/2020 15:33,27169,8,questionnaire-o9hh,,8353347,BLIND,2546398,,complete,vwrgmb,,computer,Desktop or Laptop,Windows 10,Firefox 83.0,1920x1080,1920x966,,AQ-10,1,Meta-first,No,catch_3-quantised,1
18,1.61E+12,05/12/2020 15:33,1.61E+12,0,05/12/2020 15:33,27169,8,questionnaire-o9hh,,8353347,BLIND,2546398,,complete,vwrgmb,,computer,Desktop or Laptop,Windows 10,Firefox 83.0,1920x1080,1920x966,,AQ-10,1,Meta-first,No,AQ-8,slightly agree
19,1.61E+12,05/12/2020 15:33,1.61E+12,0,05/12/2020 15:33,27169,8,questionnaire-o9hh,,8353347,BLIND,2546398,,complete,vwrgmb,,computer,Desktop or Laptop,Windows 10,Firefox 83.0,1920x1080,1920x966,,AQ-10,1,Meta-first,No,AQ-8-quantised,2
20,1.61E+12,05/12/2020 15:33,1.61E+12,0,05/12/2020 15:33,27169,8,questionnaire-o9hh,,8353347,BLIND,2546398,,complete,vwrgmb,,computer,Desktop or Laptop,Windows 10,Firefox 83.0,1920x1080,1920x966,,AQ-10,1,Meta-first,No,AQ-10,slightly agree
