Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-oh6h,Randomise questionnaire elements?,Question Key,Response
1,1608043477515,15/12/2020 14:44:37,1608043482865,0,15/12/2020 14:44:42,27169,8,questionnaire-q458,,8650201,BLIND,2628393,,complete,bfnwhg,,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1366x768,1366x657,,AQ-10_2nd,2,Menta-first,No,BEGIN QUESTIONNAIRE,
2,1608043540026,15/12/2020 14:45:40,1608043545398,0,15/12/2020 14:45:45,27169,8,questionnaire-q458,,8650201,BLIND,2628393,,complete,bfnwhg,,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1366x768,1349x657,,AQ-10_2nd,2,Menta-first,No,AQ-1,definitely agree
3,1608043540105,15/12/2020 14:45:40,1608043545401,0,15/12/2020 14:45:45,27169,8,questionnaire-q458,,8650201,BLIND,2628393,,complete,bfnwhg,,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1366x768,1349x657,,AQ-10_2nd,2,Menta-first,No,AQ-1-quantised,1
4,1608043540105,15/12/2020 14:45:40,1608043545402,0,15/12/2020 14:45:45,27169,8,questionnaire-q458,,8650201,BLIND,2628393,,complete,bfnwhg,,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1366x768,1349x657,,AQ-10_2nd,2,Menta-first,No,AQ-7,slightly agree
5,1608043540105,15/12/2020 14:45:40,1608043545402,0,15/12/2020 14:45:45,27169,8,questionnaire-q458,,8650201,BLIND,2628393,,complete,bfnwhg,,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1366x768,1349x657,,AQ-10_2nd,2,Menta-first,No,AQ-7-quantised,2
6,1608043540105,15/12/2020 14:45:40,1608043545403,0,15/12/2020 14:45:45,27169,8,questionnaire-q458,,8650201,BLIND,2628393,,complete,bfnwhg,,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1366x768,1349x657,,AQ-10_2nd,2,Menta-first,No,AQ-5,slightly agree
7,1608043540105,15/12/2020 14:45:40,1608043545403,0,15/12/2020 14:45:45,27169,8,questionnaire-q458,,8650201,BLIND,2628393,,complete,bfnwhg,,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1366x768,1349x657,,AQ-10_2nd,2,Menta-first,No,AQ-5-quantised,2
8,1608043540105,15/12/2020 14:45:40,1608043545403,0,15/12/2020 14:45:45,27169,8,questionnaire-q458,,8650201,BLIND,2628393,,complete,bfnwhg,,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1366x768,1349x657,,AQ-10_2nd,2,Menta-first,No,AQ-2,definitely agree
9,1608043540105,15/12/2020 14:45:40,1608043545404,0,15/12/2020 14:45:45,27169,8,questionnaire-q458,,8650201,BLIND,2628393,,complete,bfnwhg,,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1366x768,1349x657,,AQ-10_2nd,2,Menta-first,No,AQ-2-quantised,1
10,1608043540105,15/12/2020 14:45:40,1608043545404,0,15/12/2020 14:45:45,27169,8,questionnaire-q458,,8650201,BLIND,2628393,,complete,bfnwhg,,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1366x768,1349x657,,AQ-10_2nd,2,Menta-first,No,AQ-6,slightly disagree
